"A","B","C","AB","AC","BC","ABC","bloco1","rendimento"
-1,-1,-1,1,1,1,-1,AA,0.846577264
-1,-1,-1,1,1,1,-1,AS,0.826707783
-1,-1,1,1,-1,1,1,AA,0.883913434
-1,-1,1,1,-1,1,1,AS,0.833948936
-1,1,-1,-1,1,-1,1,AA,0.841746485
-1,1,-1,-1,1,-1,1,AS,0.831346548
-1,1,1,-1,-1,-1,-1,AA,0.781152707
-1,1,1,-1,-1,-1,-1,AS,0.850526283
1,-1,-1,-1,-1,-1,1,AA,0.998964098
1,-1,-1,-1,-1,-1,1,AS,0.825987303
1,-1,1,-1,1,-1,-1,AA,0.885986211
1,-1,1,-1,1,-1,-1,AS,0.945868325
1,1,-1,1,-1,1,-1,AA,0.794017938
1,1,-1,1,-1,1,-1,AS,0.801501057
1,1,1,1,1,1,1,AA,0.807966408
1,1,1,1,1,1,1,AS,0.980701603
