"mes","peso.sucata","aco.liq","rend","gus.sol","pAA","retorno","sinter","sint.t","cb","cb.t"
41275,27568820,222685.213,0.9392,2.89,71.73,0.98,846.01,3.799129671,6479600,0.235033636
41306,31287090,216486.566,0.9304,1.88,68.36,0.64,744.54,3.439197239,5787900,0.184993235
41334,37222600,232143.835,0.9319,3.62,77.55,0.75,915.741,3.944713845,6163770,0.16559214
41365,39768560,229826.49,0.9114,3.78,67.8,0.75,744.54,3.239574341,1644900,0.041361819
41395,42754600,244923.46,0.9014,3.35,69.39,1.11,350.056,1.429246508,1152100,0.026946808
41426,38634630,221904.375,0.8952,3.24,80.32,0.58,395.092,1.780460615,661800,0.01712971
41456,41205540,233285.199,0.9039,3.37,74.73,0.73,380.429,1.630746407,454000,0.011017936
41487,40799790,242840.247,0.9035,2.63,68.42,1.02,374.329,1.541461947,598800,0.014676546
41518,43636820,243285.75,0.9073,3.46,69.88,0.36,380.656,1.564645689,567800,0.013011947
41548,42464810,236713.579,0.8999,3.68,71.09,0.8,282.781,1.194612498,426600,0.010045965
41579,40559900,229389.754,0.8991,3.58,75.29,1.1,402.753,1.755758455,319700,0.007882169
41609,36181710,207030.812,0.8887,4.3,81.18,0.82,299.858,1.448373781,104200,0.002879908
