periodo,carga.met,peso sucata,aco.liq,rend.old,gus.sol,pAA,retorno,sinter,sint.t,cb,cb.t,pRess,pUBC,sagp,sagp.t,UBC.igsu,n.corr,pSuc,rend,ligas,ligas.t,tacb,tacb.t,esc.t,rend.cb.esc,cao.t,mgo.t
41275,239295120,27568820,222685.213,0.9392,2.89,71.73,0.98,846.01,3.799129671,6479600,27.07786101,12.3,0.490608565,3291400,13.75456382,653,1331,0.115208451,0.914249047,2662.981,11.95849946,6479.6,29.09757641,37.34419492,0.895765046,49.90976918,12.63124674
41306,234072290,31287090,216486.566,0.9304,1.88,68.36,0.64,744.54,3.439197239,5787900,24.72697644,10.1,0.639016897,2882400,12.31414449,832,1302,0.13366422,0.907864587,2326.988,10.74887945,5787.9,26.73560816,36.05766466,0.890512781,43.8974438,12.82823124
41334,250855000,37222600,232143.835,0.9319,3.62,77.55,0.75,915.741,3.944713845,6163770,24.57104702,7.4,0.527259684,9004300,35.89444101,735,1394,0.14838293,0.909436183,2464.574,10.61658174,6750.9,29.0806775,35.93461786,0.891917459,44.24999189,14.93474858
41365,253916350,39768560,229826.49,0.9114,3.78,67.8,0.75,744.54,3.239574341,1644900,6.478117695,10.8,0.553790614,9514000,37.46903262,767,1385,0.156620714,0.905474915,2726.353,11.86265778,7416.4,32.26956127,32.30181645,0.891061101,45.29920399,14.90444416
41395,274461210,42754600,244923.46,0.9014,3.35,69.39,1.11,350.056,1.429246508,1152100,4.19767879,10.1,0.500332668,9119600,33.22728192,752,1503,0.155776476,0.897628644,2915.377,11.90321662,7511.3,30.66794826,21.15024016,0.892255249,45.12619518,14.45595906
41426,249184470,38634630,221904.375,0.8952,3.24,80.32,0.58,395.092,1.780460615,661800,2.655863746,10.7,0.628099174,8040100,32.26565444,836,1331,0.155044293,0.892773194,1902.318,8.572692629,6554.5,29.53749785,25.51576552,0.884184107,47.05749533,13.81156153
41456,259804300,41205540,233285.199,0.9039,3.37,74.73,0.73,380.429,1.630746407,454000,1.747469153,10.5,0.585068198,8693000,33.45980032,815,1393,0.158602225,0.902345198,2534.686,10.86518138,7160.9,30.69590369,22.55882509,0.895741949,43.76652929,11.61096568
41487,271277620,40799790,242840.247,0.9035,2.63,68.42,1.02,374.329,1.541461947,598800,2.207332842,11.2,0.548188653,7067200,26.05154085,802,1463,0.150398658,0.901529521,2964.222,12.20646922,6708.6,27.625569,12.4282117,0.90310538,44.28603855,12.02981763
41518,269012390,43636820,243285.75,0.9073,3.46,69.88,0.36,380.656,1.564645689,567800,2.110683452,10.9,0.49656121,9268900,34.45529033,722,1454,0.16221119,0.905382406,2629.365,10.80772302,6955.7,28.59065934,14.06013299,0.90546176,47.20307538,11.93769641
41548,264951760,42464810,236713.579,0.8999,3.68,71.09,0.8,282.781,1.194612498,426600,1.610104421,10.8,0.572625698,9685900,36.55722083,820,1432,0.160273742,0.898484374,2583.727,10.91499276,6884.8,29.08493898,14.12783337,0.898612391,48.81085159,12.95020646
41579,257686523,40559900,229389.754,0.8991,3.58,75.29,1.1,402.753,1.755758455,319700,1.240654716,9.4,0.590714286,9139400,35.46712453,827,1400,0.15740016,0.897937209,2486.516,10.83969949,6183.6,26.95674019,16.02641764,0.896609094,46.55120788,12.9091006
41609,234674900,36181710,207030.812,0.8887,4.3,81.18,0.82,299.858,1.448373781,104200,0.444018512,13,0.543307087,10013400,42.66924158,690,1270,0.154178014,0.888314363,1972.774,9.528890801,5532.8,26.72452446,15.13644259,0.887883707,47.4974846,13.96665949
