"lb";"s"
"1";"3 max";8.935
"2";"3 max";5.62
"3";"3 max";7.09
"4";"3 max";9.295
"5";"3 max";8.7
"6";"3 max";11.925
"7";"3 max";10.22
"8";"3 max";14.07
"9";"3 max";15.575
"10";"3 max";14.23
"11";"3 media";8.02
"12";"3 media";6.54
"13";"3 media";10.34
"14";"3 media";21.705
"15";"3 media";10.96
"16";"3 media";7.05
"17";"3 media";7.875
"18";"3 media";14.245
"19";"3 media";21.145
"20";"3 media";9.215
"21";"3 min";8.57
"22";"3 min";12.12
"23";"3 min";9.2
"24";"3 min";10.3
"25";"3 min";13.5
"26";"3 min";7.53
"27";"3 min";12
"28";"3 min";9.465
"29";"3 min";8.47
"30";"3 min";11.29
"31";"5 max";18.26
"32";"5 max";13.26
"33";"5 max";13.925
"34";"5 max";10.955
"35";"5 max";30.65
"36";"5 max";11.8
"37";"5 max";22.46
"38";"5 max";11.03
"39";"5 max";12.325
"40";"5 max";23.995
"41";"5 media";14.435
"42";"5 media";12.085
"43";"5 media";11.43
"44";"5 media";10.16
"45";"5 media";16.975
"46";"5 media";15.965
"47";"5 media";7.62
"48";"5 media";13.96
"49";"5 media";11.21
"50";"5 media";16.82
"51";"5 min";6.625
"52";"5 min";15.475
"53";"5 min";11.93
"54";"5 min";12.225
"55";"5 min";19.365
"56";"5 min";8.805
"57";"5 min";20.435
"58";"5 min";18.39
"59";"5 min";18.075
"60";"5 min";13.26
"61";"7 max";14.685
"62";"7 max";16.065
"63";"7 max";9.25
"64";"7 max";15.615
"65";"7 max";14.925
"66";"7 max";14.04
"67";"7 max";16.98
"68";"7 max";25.71
"69";"7 max";23.455
"70";"7 max";11.865
"71";"7 media";15.845
"72";"7 media";17.06
"73";"7 media";11.775
"74";"7 media";12.97
"75";"7 media";13.78
"76";"7 media";20.24
"77";"7 media";10.16
"78";"7 media";17.745
"79";"7 media";8.91
"80";"7 media";13.76
"81";"7 min";3.765
"82";"7 min";12.585
"83";"7 min";21.41
"84";"7 min";8.98
"85";"7 min";15.925
"86";"7 min";15.77
"87";"7 min";13.44
"88";"7 min";13.02
"89";"7 min";13.52
"90";"7 min";17.815
